dir,file_name,exponential_smoothing,xgboost,random_forest,lstm,gru,vae
realAWSCloudwatch,ec2_cpu_utilization_53ea38.csv,0.0458307887532075,0.0741175233417613,0.0760744251575222,0.04860608,0.046955639,0.0447031399263578
realAWSCloudwatch,ec2_cpu_utilization_5f5533.csv,2.3431281002602,2.36580818861514,2.50090457739217,1.532379362,2.561401029,2.99390805404423
realAWSCloudwatch,ec2_cpu_utilization_77c1ca.csv,15.7738759606324,22.7536659482375,21.0038706948505,5.778466594,5.856618745,6.75456918790439
realAWSCloudwatch,ec2_cpu_utilization_825cc2.csv,2.90973065070176,7.07390347687108,18.1665131505047,1.842654538,2.916322422,7.18221091586442
realAWSCloudwatch,ec2_cpu_utilization_ac20cd.csv,1.58010744082716,2.29230563420695,5.12838181200288,1.606469977,1.621383893,1.60077126239952
realAWSCloudwatch,ec2_cpu_utilization_c6585a.csv,0.0260341023248017,0.0317579291790668,0.0316158359460925,0.02066085,0.020842279,0.0304612947417124
realAWSCloudwatch,ec2_cpu_utilization_fe7f93.csv,3.39069732357586,6.58967422785466,6.82758963883152,1.574349129,1.686438935,6.83978006668628
realAWSCloudwatch,ec2_disk_write_bytes_1ef3de.csv,11805348.0297765,18538649.4210095,21183745.3321944,8900530.65,5744601.577,10922827.4134718
realAWSCloudwatch,ec2_disk_write_bytes_c0d644.csv,39777982.7837543,40707373.9647861,41097782.9821437,17969204.05,17799612.37,11812063.8853701
realAWSCloudwatch,ec2_network_in_257a54.csv,14323.1497883016,618650.604655553,495969.300127788,19534.55264,33507.45838,303381.221255764
realAWSCloudwatch,ec2_network_in_5abac7.csv,157099.57502934,285588.408317571,287338.734924305,121779.2727,116734.4301,169199.601893898
realKnownCause,ec2_request_latency_system_failure.csv,1.62394124644825,1.63005862112884,1.73908988334344,1.608628798,1.633342958,1.70145665082358
realAWSCloudwatch,elb_request_count_8c0756.csv,41.9531834571039,39.7742093246762,41.7422394776108,37.84747548,38.55746467,40.9873044626125
realAdExchange,exchange-2_cpc_results.csv,0.0157966409691895,0.0178771264132406,0.0215534989352748,0.014764724,0.013053369,0.0202011424850141
realAdExchange,exchange-2_cpm_results.csv,0.0664201738014875,0.068205404058491,0.126764082373895,0.073737887,0.057446253,0.0803250624161177
realAdExchange,exchange-3_cpc_results.csv,0.0354624501699743,0.0432848014806387,0.0400230819826658,0.030748521,0.030156278,0.0390162675081007
realAdExchange,exchange-3_cpm_results.csv,0.194865887352288,0.280654915545108,0.242408762626773,0.149862966,0.126168411,0.332026022309838
realAdExchange,exchange-4_cpc_results.csv,0.0416836595197487,0.0395253107087151,0.043988572996644,0.033636395,0.033989752,0.0513671910686787
realAdExchange,exchange-4_cpm_results.csv,0.209124320610973,0.200500879364633,0.221372961200381,0.170312882,0.172731086,0.292099674563152
realAWSCloudwatch,grok_asg_anomaly.csv,1.48283982510025,1.42544982381294,1.46899586360916,1.352704263,1.405743297,1.46174728129067
realAWSCloudwatch,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1261541.25247963,1436639.67329317,1341038.68664659,514165.4706,372180.4992,1919793.56388306
realKnownCause,machine_temperature_system_failure.csv,11.7807826726912,11.1529070282776,12.8687278881009,0.870433771,0.841844226,2.90273132314726
realKnownCause,nyc_taxi.csv,4007.35556077339,2295.08363040658,2693.57800742452,649.6584008,784.773484,1621.7322159698
realTraffic,occupancy_6005.csv,2.60362305679961,3.25128357526552,3.1430657280052,1.75900832,0.42219138,1.14447656658366
realTraffic,occupancy_t4013.csv,3.78300150192882,4.44926035184443,4.02230996373029,2.544913649,0.593257351,1.5444437442024
realAWSCloudwatch,rds_cpu_utilization_cc0c53.csv,0.212558381781247,0.283334630851554,0.284862648223597,0.223884204,0.221330196,0.267381610385002
realAWSCloudwatch,rds_cpu_utilization_e47b3b.csv,6.62173920941979,6.74782580527621,7.15589255789977,4.034135851,2.446730495,5.4404298714413
realKnownCause,rogue_agent_key_hold.csv,0.0594872234080009,0.0458354011873312,0.0813833802338693,0.020076376,0.007826043,0.0284374255117367
realKnownCause,rogue_agent_key_updown.csv,0.894342055551103,0.820160182941009,0.913531596718883,0.573394034,0.624910185,0.825998546770438
realTraffic,speed_6005.csv,4.11825465162542,11.841721886268,13.520426824586,6.750637309,1.019533096,12.1449580583153
realTraffic,speed_7578.csv,6.50684684258902,7.63615802312057,12.3603863568188,7.114575827,2.003123968,6.49835181731191
realTraffic,speed_t4013.csv,1.47155879700918,1.34916078824171,2.06516338980343,3.088216549,0.941375782,1.04015526347345
realTraffic,TravelTime_387.csv,79.9417738551662,177.065265267474,260.296505595376,89.96973928,3.607681628,28.6992384584616
realTraffic,TravelTime_451.csv,77.5051039306742,142.976151774771,148.170950254576,63.2959892,6.025404767,22.8259893991449
realTweets,Twitter_volume_AAPL.csv,84.1648453066528,69.894358646493,75.2697886820953,32.7848239,32.78663576,48.9972893323866
realTweets,Twitter_volume_AMZN.csv,23.1243737715314,19.6572146503804,19.6233222933718,11.48855354,11.21377532,13.4156623994249
realTweets,Twitter_volume_CRM.csv,5.24752612476855,3.52519034627211,3.94361834903874,1.649719293,1.747963385,1.84479931113533
realTweets,Twitter_volume_CVS.csv,0.528320069981559,0.55629191553565,0.829966202531016,0.391551988,0.394247774,0.517894920800523
realTweets,Twitter_volume_FB.csv,9.09767733505732,7.36264199852228,8.0796879270606,5.62743176,5.785006382,7.0824707136873
realTweets,Twitter_volume_GOOG.csv,14.9985889178229,9.68111682498758,11.4293975124266,6.033739774,6.135595857,7.21342885872889
realTweets,Twitter_volume_IBM.csv,3.45735788654012,3.12347993663401,4.70128251091419,2.596848659,2.659447491,2.89892492901443
realTweets,Twitter_volume_KO.csv,8.69292900428103,8.61944344261433,10.0098353171834,5.242180022,5.556923891,6.54143932279764
realTweets,Twitter_volume_PFE.csv,1.03457426647119,0.948538865147142,0.975701611376019,0.78353386,0.742801522,0.907096855300718
realTweets,Twitter_volume_UPS.csv,4.99041699536672,7.58549591252348,9.31184176538959,2.325794558,2.312023061,5.36180564368853
